TAG, LENGTH, PHI, COLLIMATOR_LENGTH, COLLIMATOR_AREA, MINUTE, HIT_CUT, CENTER, ROI, ROI_THETA, RAW_FILE, MASKED_FILE, MASK_PIXEL_FILE, OUTPUT_DIRECTORY
L20REFO_D45_PED, 20, 11, 20, 0, 10, -1, 563.5 259.5, 150 10, 45, /mnt/raw/cluster_size/run/PEDESTAL_20250331_222512.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20REFO_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20REFO_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20REFO_PED
L20REFO_D90_PED, 20, 11, 20, 0, 10, -1, 563.5 259.5, 150 10, 90, /mnt/raw/cluster_size/run/PEDESTAL_20250331_222512.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20REFO_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20REFO_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20REFO_PED
L20REFO_D135_PED, 20, 11, 20, 0, 10, -1, 563.5 259.5, 150 10, 135, /mnt/raw/cluster_size/run/PEDESTAL_20250331_222512.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20REFO_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20REFO_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20REFO_PED
L20F2X_PED, 20, 11, 20, 0, 10, 2, 504.9 279.8, 10000 10000, 0, /mnt/raw/cluster_size/run/PEDESTAL_20250331_224453.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20F2X_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20F2X_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20F2X_PED
L20F2X_D0_PED, 20, 11, 20, 0, 10, 2, 504.9 279.8, 150 10, 0, /mnt/raw/cluster_size/run/PEDESTAL_20250331_224453.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20F2X_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20F2X_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20F2X_PED
L20F2X_D90_PED, 20, 11, 20, 0, 10, 2, 504.9 279.8, 150 10, 90, /mnt/raw/cluster_size/run/PEDESTAL_20250331_224453.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20F2X_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20F2X_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20F2X_PED
L20F2O_PED, 20, 11, 20, 0, 10, 2, 504.9 279.8, 10000 10000, 0, /mnt/raw/cluster_size/run/PEDESTAL_20250401_165810.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20F2O_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20F2O_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20F2O_PED
L20F2O_D0_PED, 20, 11, 20, 0, 10, 2, 504.9 279.8, 150 10, 0, /mnt/raw/cluster_size/run/PEDESTAL_20250401_165810.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20F2O_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20F2O_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20F2O_PED
L20F2O_D90_PED, 20, 11, 20, 0, 10, 2, 504.9 279.8, 150 10, 90, /mnt/raw/cluster_size/run/PEDESTAL_20250401_165810.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/L20F2O_PED.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/L20F2O_PED.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/L20F2O_PED
PEDESTAL_20250328_210600, 0, 0, 0, 0, 0, -1, 0 0, 10000 10000, 0, /mnt/raw/cluster_size/run/PEDESTAL_20250328_210600.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/PEDESTAL_20250328_210600.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/PEDESTAL_20250328_210600.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/PEDESTAL_20250328_210600
